Fri Mar 11 14:42:31 +0000 2011	iAmJebricai	I just scored 461 points in Fruit Ninja HD's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/gXfoMn
Fri Mar 11 15:01:08 +0000 2011	malukulicious	I scored 669 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/hnuqIk
Fri Mar 11 15:01:48 +0000 2011	Warhawk_365	I just scored 253 points in Fruit Ninja HD's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/gYY120
Fri Mar 11 15:05:18 +0000 2011	JaEFAI1	I just sliced 44 fruits, including 4 succulent oranges on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/esECtu
Fri Mar 11 15:10:16 +0000 2011	KillerProdigy	I scored 214 points in Fruit Ninja's Zen Mode on iPhone, with a lush 6 watermelon combo! http://www.fruitninja.com http://bit.ly/e8sco4
Fri Mar 11 15:11:30 +0000 2011	fazasalleh	I scored 240 points in Fruit Ninja's Zen Mode on iPhone, with a succulent 5 LEMON combo! http://www.fruitninja.com http://bit.ly/i9EKgP
Fri Mar 11 15:11:31 +0000 2011	Eli123xoxo	I just sliced 10 fruits, including 2 lush watermelons on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/fqYAc5
Fri Mar 11 15:11:37 +0000 2011	BigDaddyTyrie	I just scored 623 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/eimxfF
Fri Mar 11 15:12:53 +0000 2011	Eli123xoxo	I just sliced 43 fruits, including 3 lush lemons on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/fqYAc5
Fri Mar 11 15:14:10 +0000 2011	Sherlynkoe	I scored 237 points in Fruit Ninja's Zen Mode on iPhone, with a tasty 6 fruit combo! http://www.fruitninja.com http://bit.ly/eNEeTB
Fri Mar 11 15:14:41 +0000 2011	Drmr_Kyu	I just sliced 282 fruits, including 21 delicious limes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/gpcBdo
Fri Mar 11 15:18:39 +0000 2011	johnatancwb	I scored 617 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/gjZm5k
Fri Mar 11 15:19:41 +0000 2011	Monodi	I just sliced 99 fruits, including 10 lush mangoes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/fPiArh
Fri Mar 11 15:24:46 +0000 2011	foreigner2626	I just scored 622 points in Fruit Ninja's Arcade Mode, with help from 4 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/g4nZmB
Fri Mar 11 15:26:30 +0000 2011	myxomopdrbz	I just sliced 141 fruits, including 10 tasty watermelons on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eBj0Td
Fri Mar 11 15:39:38 +0000 2011	zzsuperman	I scored 206 points in Fruit Ninja's Zen Mode on iPhone, with a tasty 5 fruit combo! http://www.fruitninja.com http://bit.ly/f0dosG
Fri Mar 11 15:42:30 +0000 2011	breeves002	I just scored 480 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/fAUm1G
Fri Mar 11 15:43:18 +0000 2011	daniaricci	I just sliced 151 fruits, including 12 delicious red apples on Fruit Ninja HD for iPad! http://www.fruitninja.com http://bit.ly/fLQi6L
Fri Mar 11 15:50:40 +0000 2011	lilcow14	I just scored 94 points in Fruit Ninja's Arcade Mode, with help from a Score x2 Banana! http://www.fruitninja.com http://bit.ly/idu3x1
Fri Mar 11 15:52:34 +0000 2011	Bstouff	I just sliced 229 fruits, including 15 delicious mangoes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/e8UOMl
Fri Mar 11 15:57:53 +0000 2011	tuinhek	I just scored 586 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/gGulzN
Fri Mar 11 15:59:59 +0000 2011	chance_bowen	I just sliced 62 fruits, including 4 juicy pineapples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eujd1O
Fri Mar 11 16:07:03 +0000 2011	poopela	I just sliced 23 fruits, including 3 juicy kiwifruits on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/hJAxG8
Fri Mar 11 16:12:23 +0000 2011	tvallis	I just sliced 76 fruits, including 10 delicious kiwifruits on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/goPTpV
Fri Mar 11 16:13:32 +0000 2011	Coourtt4	I just sliced 449 fruits, including 29 juicy oranges on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/exuNsy
Fri Mar 11 16:25:24 +0000 2011	weichen23	I just scored 691 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/gBdLaI
Fri Mar 11 16:26:18 +0000 2011	Didierrmau5	I just scored 532 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hbFfiU
